INSERT INTO `petcare_db`.`animais` (id_animal, animal_nome, porte, especie, cor, raca, imagem, animal_descricao, animal_rg, status, fk_animais_id_usuario) VALUES
(1, 'Lola', 'Pequeno', 'Canina', 'Cinza', 'Chihuahua', '/imagens/canina/lola.jpg', 'Adora correr e passear.', '100000001', 'Adotado', 1),
(2, 'Misty', 'Grande', 'Aves', 'Amarelo', 'Cacatua', '/imagens/aves/misty.jpg', 'Muito dócil e brincalhão.', NULL, 'Disponível', 123),
(3, 'Buddy', 'Pequeno', 'Felina', 'Laranja', 'SRD', '/imagens/felina/buddy.jpg', 'Companheiro(a) ideal para a família.', '100000003', 'Disponível', 56),
(4, 'Penny', 'Médio', 'Canina', 'Tigrado', 'Shih Tzu', '/imagens/canina/penny.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Adotado', 998),
(5, 'Duke', 'Médio', 'Répteis', 'Cinza', 'Cobra do Milho', '/imagens/repteis/duke.jpg', 'Calmo e dorminhoco.', '100000005', 'Disponível', 301),
(6, 'Molly', 'Pequeno', 'Canina', 'Marrom', 'Vira-lata', '/imagens/canina/molly.jpg', 'Adora carinho e atenção.', NULL, 'Disponível', 722),
(7, 'Abby', 'Médio', 'Roedores', 'Cinza', 'Hamster', '/imagens/roedores/abby.jpg', 'Sempre pronto(a) para uma aventura.', '100000007', 'Disponível', 456),
(8, 'Zoe', 'Médio', 'Aves', 'Branco e Preto', 'Calopsita', '/imagens/aves/zoe.jpg', 'Brincalhão(a) e divertido(a).', NULL, 'Desaparecido', 210),
(9, 'Frankie', 'Grande', 'Canina', 'Dourado', 'Labrador', '/imagens/canina/frankie.jpg', 'Amigável com outros animais.', '100000009', 'Disponível', 680),
(10, 'Lucky', 'Médio', 'Felina', 'Laranja', 'Siamês', '/imagens/felina/lucky.jpg', 'Companheiro(a) ideal para a família.', NULL, 'Disponível', 91),
(11, 'Cooper', 'Grande', 'Canina', 'Malhado', 'Labrador', '/imagens/canina/cooper.jpg', 'Muito dócil e brincalhão.', '100000011', 'Disponível', 345),
(12, 'Bella', 'Pequeno', 'Aves', 'Amarelo', 'Agapornis', '/imagens/aves/bella.jpg', 'Calmo e dorminhoco.', NULL, 'Adotado', 789),
(13, 'Daisy', 'Grande', 'Canina', 'Branco e Preto', 'Husky Siberiano', '/imagens/canina/daisy.jpg', 'Fiel e protetor(a).', '100000013', 'Disponível', 101),
(14, 'Ruby', 'Médio', 'Felina', 'Tigrado', 'Bengal', '/imagens/felina/ruby.jpg', 'Precisa de muito espaço e atividade.', NULL, 'Disponível', 550),
(15, 'Oscar', 'Médio', 'Roedores', 'Marrom', 'Coelho', '/imagens/roedores/osc.jpg', 'Energético e curioso.', '100000015', 'Disponível', 23),
(16, 'Smokey', 'Pequeno', 'Peixes', 'Azul', 'Néon', '/imagens/peixes/smo.jpg', 'Independente e explorador(a).', NULL, 'Disponível', 812),
(17, 'Teddy', 'Grande', 'Canina', 'Preto', 'Pastor Alemão', '/imagens/canina/ted.jpg', 'Adora crianças.', '100000017', 'Disponível', 47),
(18, 'Oliver', 'Médio', 'Aves', 'Laranja', 'Periquito', '/imagens/aves/oli.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Disponível', 605),
(19, 'Chloe', 'Grande', 'Canina', 'Marrom', 'Golden Retriever', '/imagens/canina/chl.jpg', 'Esperto(a) e fácil de treinar.', '100000019', 'Adotado', 178),
(20, 'Sadie', 'Médio', 'Felina', 'Branco', 'Persa', '/imagens/felina/sad.jpg', 'Calmo e dorminhoco.', NULL, 'Disponível', 902),
(21, 'Hazel', 'Pequeno', 'Roedores', 'Dourado', 'Porquinho da Índia', '/imagens/roedores/haz.jpg', 'Precisa de muito espaço e atividade.', '100000021', 'Disponível', 333),
(22, 'BellaLuna', 'Grande', 'Canina', 'Malhado', 'Labrador', '/imagens/canina/bellaluna.jpg', 'Adora crianças.', NULL, 'Disponível', 754),
(23, 'Milo', 'Médio', 'Felina', 'Tigrado', 'Maine Coon', '/imagens/felina/milo.jpg', 'Companheiro(a) ideal para a família.', '100000023', 'Disponível', 222),
(24, 'Piper', 'Pequeno', 'Peixes', 'Vermelho', 'Betta', '/imagens/peixes/piper.jpg', 'Gosta de carinho e atenção.', NULL, 'Disponível', 87),
(25, 'Roxy', 'Médio', 'Aves', 'Branco', 'Canário', '/imagens/aves/roxy.jpg', 'Muito dócil e brincalhão.', '100000025', 'Desaparecido', 500),
(26, 'Scout', 'Grande', 'Canina', 'Preto', 'Boxer', '/imagens/canina/scout.jpg', 'Fiel e protetor(a).', NULL, 'Disponível', 12),
(27, 'Ginger', 'Pequeno', 'Felina', 'Branco e Preto', 'British Shorthair', '/imagens/felina/ginger.jpg', 'Independente e explorador(a).', '100000027', 'Disponível', 699),
(28, 'Leo', 'Médio', 'Répteis', 'Verde', 'Iguana', '/imagens/repteis/leo.jpg', 'Brincalhão(a) e divertido(a).', NULL, 'Adotado', 400),
(29, 'Rocky', 'Grande', 'Canina', 'Laranja', 'Golden Retriever', '/imagens/canina/rocky.jpg', 'Esperto(a) e fácil de treinar.', '100000029', 'Disponível', 911),
