-- insert dos endereços dos canais de denuncia

INSERT INTO `petcare_db`.`Endereco` (id_endereco, cidade, cep, estado, rua, bairro, tipo_endereco) VALUES
(1076, 'Abadia de Goiás', '75345-000', 'Goiás', 'Rua 01, Lote 10', 'Centro', 'LocalDenuncia'),
(1077, 'Abadiânia', '72940-000', 'Goiás', 'Avenida JK, Quadra 5', 'Setor Central', 'LocalDenuncia'),
(1078, 'Acreúna', '75960-000', 'Goiás', 'Rua das Acácias, 123', 'Jardim das Flores', 'LocalDenuncia'),
(1079, 'Adelândia', '76150-000', 'Goiás', 'Praça da Matriz, SN', 'Centro', 'LocalDenuncia'),
(1080, 'Água Fria de Goiás', '73780-000', 'Goiás', 'Rua do Comércio, 45', 'Vila Nova', 'LocalDenuncia'),
(1081, 'Água Limpa', '75660-000', 'Goiás', 'Avenida Goiás, 88', 'Setor Oeste', 'LocalDenuncia'),
(1082, 'Águas Lindas de Goiás', '72910-000', 'Goiás', 'Quadra 17, Bloco B', 'Mansões Village', 'LocalDenuncia'),
(1083, 'Alexânia', '72930-000', 'Goiás', 'Rua Padre Cícero, 200', 'Centro', 'LocalDenuncia'),
(1084, 'Aloândia', '75620-000', 'Goiás', 'Rua Principal, 30', 'Setor Central', 'LocalDenuncia'),
(1085, 'Alto Horizonte', '76560-000', 'Goiás', 'Avenida do Garimpo, 150', 'Bairro da Mina', 'LocalDenuncia'),
(1086, 'Alto Paraíso de Goiás', '73770-000', 'Goiás', 'Alameda das Cachoeiras, 70', 'Vila Céu', 'LocalDenuncia'),
(1087, 'Alvorada do Norte', '73950-000', 'Goiás', 'Rua da Estação, 50', 'Setor Ferroviário', 'LocalDenuncia'),
(1088, 'Amaralina', '76485-000', 'Goiás', 'Rua das Oliveiras, 99', 'Jardim das Plantas', 'LocalDenuncia'),
(1089, 'Americano do Brasil', '76160-000', 'Goiás', 'Avenida Sete de Setembro, 120', 'Centro', 'LocalDenuncia'),
(1090, 'Amorinópolis', '76140-000', 'Goiás', 'Praça do Chafariz, SN', 'Setor Central', 'LocalDenuncia'),
(1091, 'Anápolis', '75000-000', 'Goiás', 'Avenida Brasil Sul, 1234', 'Jardim Boa Vista', 'LocalDenuncia'),
(1092, 'Anhanguera', '75770-000', 'Goiás', 'Rua da Praça, 15', 'Centro', 'LocalDenuncia'),
(1093, 'Anicuns', '76170-000', 'Goiás', 'Rua da Saudade, 250', 'Vila Feliz', 'LocalDenuncia'),
(1094, 'Aparecida de Goiânia', '74900-000', 'Goiás', 'Avenida Rio Verde, 1000', 'Jardim Nova Era', 'LocalDenuncia'),
(1095, 'Aparecida do Rio Doce', '75827-000', 'Goiás', 'Rua das Águas, 30', 'Setor Ribeirinho', 'LocalDenuncia'),
(1096, 'Aporé', '75825-000', 'Goiás', 'Avenida do Contorno, 80', 'Vila Nova', 'LocalDenuncia'),
(1097, 'Araçu', '75410-000', 'Goiás', 'Rua da Igreja, 25', 'Centro', 'LocalDenuncia'),
(1098, 'Aragarças', '76240-000', 'Goiás', 'Avenida Getúlio Vargas, 300', 'Setor Central', 'LocalDenuncia'),
(1099, 'Aragoiânia', '75360-000', 'Goiás', 'Rua do Comércio, 150', 'Centro', 'LocalDenuncia'),
(1100, 'Araguapaz', '76720-000', 'Goiás', 'Rua das Garças, 50', 'Jardim Ecológico', 'LocalDenuncia'),
(1101, 'Arenópolis', '76235-000', 'Goiás', 'Avenida da Pedreira, 75', 'Setor Industrial', 'LocalDenuncia'),
(1102, 'Aruanã', '76710-000', 'Goiás', 'Rua do Porto, 200', 'Vila de Pescadores', 'LocalDenuncia'),
(1103, 'Aurilândia', '76120-000', 'Goiás', 'Rua Tiradentes, 180', 'Centro', 'LocalDenuncia'),
(1104, 'Avelinópolis', '75390-000', 'Goiás', 'Avenida das Mangueiras, 40', 'Jardim Frutal', 'LocalDenuncia'),
(1105, 'Baliza', '76250-000', 'Goiás', 'Rua da Paz, 60', 'Setor Central', 'LocalDenuncia'),
(1106, 'Barro Alto', '76390-000', 'Goiás', 'Avenida da Mineração, 350', 'Bairro dos Minerais', 'LocalDenuncia'),
(1107, 'Bela Vista de Goiás', '75240-000', 'Goiás', 'Rua 21 de Abril, 100', 'Centro', 'LocalDenuncia'),
(1108, 'Bom Jardim de Goiás', '76245-000', 'Goiás', 'Rua das Flores, 110', 'Jardim Bonito', 'LocalDenuncia'),
(1109, 'Bom Jesus de Goiás', '75570-000', 'Goiás', 'Avenida Castelo Branco, 90', 'Vila Brasil', 'LocalDenuncia'),
(1110, 'Bonfinópolis', '75195-000', 'Goiás', 'Rua do Progresso, 70', 'Setor Leste', 'LocalDenuncia'),
(1111, 'Bonópolis', '76480-000', 'Goiás', 'Avenida do Bosque, 50', 'Jardim das Árvores', 'LocalDenuncia'),
(1112, 'Brazabrantes', '75440-000', 'Goiás', 'Rua São José, 80', 'Centro', 'LocalDenuncia'),
(1113, 'Britânia', '76280-000', 'Goiás', 'Avenida do Lago, 150', 'Setor Náutico', 'LocalDenuncia'),
(1114, 'Buriti Alegre', '75680-000', 'Goiás', 'Rua do Parque, 200', 'Jardim Recreio', 'LocalDenuncia'),
(1115, 'Buriti de Goiás', '76730-000', 'Goiás', 'Rua Principal, 20', 'Centro', 'LocalDenuncia'),
(1116, 'Buritinópolis', '73960-000', 'Goiás', 'Avenida dos Ipês, 60', 'Vila Nova', 'LocalDenuncia'),
(1117, 'Cabeceiras', '73870-000', 'Goiás', 'Rua da Serra, 180', 'Setor Montanhês', 'LocalDenuncia'),
(1118, 'Cachoeira Alta', '75870-000', 'Goiás', 'Avenida Brasil, 250', 'Centro', 'LocalDenuncia'),
(1119, 'Cachoeira de Goiás', '76110-000', 'Goiás', 'Rua dos Cânions, 75', 'Vila Dourada', 'LocalDenuncia'),
(1120, 'Cachoeira Dourada', '75560-000', 'Goiás', 'Avenida da Água, 100', 'Setor Turístico', 'LocalDenuncia'),
(1121, 'Caçu', '75813-000', 'Goiás', 'Rua Principal, 40', 'Centro', 'LocalDenuncia'),
(1122, 'Caiapônia', '75850-000', 'Goiás', 'Avenida Goiás, 300', 'Setor Central', 'LocalDenuncia'),
(1123, 'Caldas Novas', '75690-000', 'Goiás', 'Rua Coronel Cirilo, 500', 'Centro', 'LocalDenuncia'),
(1124, 'Caldazinha', '75230-000', 'Goiás', 'Rua do Brejo, 25', 'Jardim Verde', 'LocalDenuncia'),
(1125, 'Campestre de Goiás', '76180-000', 'Goiás', 'Avenida do Campo, 150', 'Setor Rural', 'LocalDenuncia'),
(1126, 'Campinaçu', '76450-000', 'Goiás', 'Rua do Riacho, 90', 'Vila das Pedras', 'LocalDenuncia'),
(1127, 'Campinorte', '76410-000', 'Goiás', 'Avenida Tocantins, 200', 'Setor Norte', 'LocalDenuncia'),
(1128, 'Campo Alegre de Goiás', '75740-000', 'Goiás', 'Rua da Lagoa, 110', 'Jardim Recreio', 'LocalDenuncia'),
(1129, 'Campo Limpo de Goiás', '76370-000', 'Goiás', 'Avenida dos Ipês, 70', 'Vila Bela', 'LocalDenuncia'),
(1130, 'Campos Belos', '73840-000', 'Goiás', 'Rua das Acácias, 180', 'Setor Oeste', 'LocalDenuncia'),
(1131, 'Campos Verdes', '76490-000', 'Goiás', 'Avenida da Esmeralda, 300', 'Bairro dos Cristais', 'LocalDenuncia'),
(1132, 'Carmo do Rio Verde', '76340-000', 'Goiás', 'Rua da Matriz, 80', 'Centro', 'LocalDenuncia'),
(1133, 'Castelândia', '75925-000', 'Goiás', 'Avenida do Castelo, 150', 'Jardim Real', 'LocalDenuncia'),
(1134, 'Catalão', '75700-000', 'Goiás', 'Avenida 20 de Agosto, 1000', 'Centro', 'LocalDenuncia'),
(1135, 'Caturaí', '75460-000', 'Goiás', 'Rua do Bosque, 45', 'Jardim das Árvores', 'LocalDenuncia'),
(1136, 'Cavalcante', '73790-000', 'Goiás', 'Rua da Chapada, 120', 'Vila Turística', 'LocalDenuncia'),
(1137, 'Ceres', '76300-000', 'Goiás', 'Avenida Brasil, 450', 'Setor Aeroporto', 'LocalDenuncia'),
