INSERT INTO `petcare_db`.`pertence_ong` (`fk_pertence_id_usuario`, `fk_pertence_id_ong`) VALUES
(2, 53),
(4, 91),
(6, 12),
(8, 76),
(10, 34),
(12, 8),
(14, 67),
(16, 21),
(18, 45),
(20, 99),
(22, 3),
(24, 70),
(26, 18),
(28, 85),
(30, 4),
(32, 59),
(34, 28),
(36, 92),
(38, 1),
(40, 77),
(42, 39),
(44, 15),
(46, 88),
(48, 2),
(50, 63),
(52, 31),
(54, 95),
(56, 7),
(58, 81),
(60, 49),
(62, 23),
(64, 98),
(66, 11),
(68, 65),
(70, 36),
(72, 89),
(74, 5),
(76, 72),
(78, 42),
(80, 19),
(82, 80),
(84, 51),
(86, 25),
(88, 93),
(90, 9),
(92, 68),
(94, 38),
(96, 73),
(98, 6),
(100, 56),
(102, 29),
(104, 96),
(106, 13),
(108, 79),
(110, 47),
(112, 22),
(114, 87),
(116, 10),
(118, 61),
(120, 33),
(122, 90),
(124, 16),
(126, 75),
(128, 44),
(130, 20),
(132, 84),
(134, 54),
(136, 26),
(138, 94),
(140, 48),
(142, 69),
(144, 37),
(146, 71),
(148, 14),
(150, 58),
(152, 30),
(154, 97),
(156, 17),
(158, 82),
(160, 46),
(162, 24),
(164, 86),
(166, 32),
(168, 62),
(170, 35),
(172, 78),
(174, 52),
(176, 27),
(178, 83),
(180, 40),
(182, 60),
(184, 43),
(186, 66),
(188, 50),
(190, 55),
(192, 41),
(194, 64),
(196, 57),
(198, 74),
(200, 100),
(202, 1),
(204, 2),
(206, 3),
(208, 4),
(210, 5),
(212, 6),
(214, 7),
(216, 8),
(218, 9),
(220, 10),
(222, 11),
(224, 12),
(226, 13),
(228, 14),
(230, 15),
(232, 16),
(234, 17),
(236, 18),
(238, 19),
(240, 20),
(242, 21),
(244, 22),
(246, 23),
(248, 24),
(250, 25),
(252, 26),
(254, 27),
(256, 28),
(258, 29),
(260, 30),
(262, 31),
(264, 32),
(266, 33),
(268, 34),
(270, 35),
(272, 36),
(274, 37),
(276, 38),
(278, 39),
(280, 40),
(282, 41),
(284, 42),
(286, 43),
(288, 44),
(290, 45),
(292, 46),
(294, 47),
(296, 48),
(298, 49),
(300, 50),
(302, 51),
(304, 52),
(306, 53),
(308, 54),
(310, 55),
(312, 56),
(314, 57),
(316, 58),
(318, 59),
(320, 60),
(322, 61),
(324, 62),
(326, 63),
(328, 64),
(330, 65),
(332, 66),
(334, 67),
(336, 68),
(338, 69),
(340, 70),
(342, 71),
(344, 72),
(346, 73),
(348, 74),
(350, 75),
(352, 76),
(354, 77),
(356, 78),
(358, 79),
(360, 80),
(362, 81),
(364, 82),
(366, 83),
(368, 84),
(370, 85),
(372, 86),
(374, 87),
(376, 88),
(378, 89),
(380, 90),
(382, 91),
(384, 92),
(386, 93),
(388, 94),
(390, 95),
(392, 96),
(394, 97),
(396, 98),
(398, 99),
(400, 100),
(402, 1),
(404, 2),
(406, 3),
(408, 4),
(410, 5),
(412, 6),
(414, 7),
(416, 8),
(418, 9),
(420, 10),
(422, 11),
(424, 12),
(426, 13),
(428, 14),
(430, 15),
(432, 16),
(434, 17),
(436, 18),
(438, 19),
(440, 20),
(442, 21),
(444, 22),
(446, 23),
(448, 24),
(450, 25),
(452, 26),
(454, 27),
(456, 28),
(458, 29),
(460, 30),
(462, 31),
(464, 32),
(466, 33),
(468, 34),
(470, 35),
(472, 36),
(474, 37),
(476, 38),
(478, 39),
(480, 40),
(482, 41),
(484, 42),
(486, 43),
(488, 44),
(490, 45),
(492, 46),
(494, 47),
(496, 48),
(498, 49),
(500, 50),
(502, 51),
(504, 52),
(506, 53),
(508, 54),
(510, 55),
(512, 56),
(514, 57),
(516, 58),
(518, 59),
(520, 60),
(522, 61),
(524, 62),
(526, 63),
(528, 64),
(530, 65),
(532, 66),
(534, 67),
(536, 68),
(538, 69),
(540, 70),
(542, 71),
(544, 72),
(546, 73),
(548, 74),
(550, 75),
(552, 76),
(554, 77),
(556, 78),
(558, 79),
(560, 80),
(562, 81),
(564, 82),
(566, 83),
(568, 84),
(570, 85),
(572, 86),
(574, 87),
(576, 88),
(578, 89),
(580, 90),
(582, 91),
(584, 92),
(586, 93),
(588, 94),
(590, 95),
(592, 96),
(594, 97),
(596, 98),
(598, 99),
(600, 100),
(602, 1),
(604, 2),
(606, 3),
(608, 4),
(610, 5),
(612, 6),
(614, 7),
(616, 8),
(618, 9),
(620, 10),
(622, 11),
(624, 12),
(626, 13),
(628, 14),
(630, 15),
(632, 16),
(634, 17),
(636, 18),
(638, 19),
(640, 20),
(642, 21),
(644, 22),
(646, 23),
(648, 24),
(650, 25),
(652, 26),
(654, 27),
(656, 28),
(658, 29),
(660, 30),
(662, 31),
(664, 32),
(666, 33),
(668, 34),
(670, 35),
(672, 36),
(674, 37),
(676, 38),
(678, 39),
(680, 40),
(682, 41),
(684, 42),
(686, 43),
(688, 44),
(690, 45),
(692, 46),
(694, 47),
(696, 48),
(698, 49),
(700, 50),
(702, 51),
(704, 52),
(706, 53),
(708, 54),
(710, 55),
(712, 56),
(714, 57),
(716, 58),
(718, 59),
(720, 60),
(722, 61),
(724, 62),
(726, 63),
(728, 64),
(730, 65),
(732, 66),
(734, 67),
(736, 68),
(738, 69),
(740, 70),
(742, 71),
(744, 72),
(746, 73),
(748, 74),
(750, 75),
(752, 76),
(754, 77),
(756, 78),
(758, 79),
(760, 80),
(762, 81),
(764, 82),
(766, 83),
(768, 84),
(770, 85),
(772, 86),
(774, 87),
(776, 88),
(778, 89),
(780, 90),
(782, 91),
(784, 92),
(786, 93),
(788, 94),
(790, 95),
(792, 96),
(794, 97),
(796, 98),
(798, 99),
(800, 100),
(802, 1),
(804, 2),
(806, 3),
(808, 4),
(810, 5),
(812, 6),
(814, 7),
(816, 8),
(818, 9),
(820, 10),
(822, 11),
(824, 12),
(826, 13),
(828, 14),
(830, 15),
(832, 16),
(834, 17),
(836, 18),
(838, 19),
(840, 20),
(842, 21),
(844, 22),
(846, 23),
(848, 24),
(850, 25),
(852, 26),
(854, 27),
(856, 28),
(858, 29),
(860, 30),
(862, 31),
(864, 32),
(866, 33),
(868, 34),
(870, 35),
(872, 36),
(874, 37),
(876, 38),
(878, 39),
(880, 40),
(882, 41),
(884, 42),
(886, 43),
(888, 44),
(890, 45),
(892, 46),
(894, 47),
(896, 48),
(898, 49),
(900, 50),
(902, 51),
(904, 52),
(906, 53),
(908, 54),
(910, 55),
(912, 56),
(914, 57),
(916, 58),
(918, 59),
(920, 60),
(922, 61),
(924, 62),
(926, 63),
(928, 64),
(930, 65),
(932, 66),
(934, 67),
(936, 68),
(938, 69),
(940, 70),
(942, 71),
(944, 72),
(946, 73),
(948, 74),
(950, 75),
(952, 76),
(954, 77),
(956, 78),
(958, 79),
(960, 80),
(962, 81),
(964, 82),
(966, 83),
(968, 84),
(970, 85),
(972, 86),
(974, 87),
(976, 88),
(978, 89),
(980, 90),
(982, 91),
(984, 92),
(986, 93),
(988, 94),
(990, 95),
(992, 96),
(994, 97),
(996, 98),
(998, 99),
(1000, 100);
